id,files_name,exp_times_sec,date_fit,main_poly,extra_poly,opt_dens_min
C000K,"Calibrovka_05-06.11.1989_10s_XLV-4-cal-4.fit,Calibrovka_05-06.11.1989_40s_XLV-4-cal-4.fit,Calibrovka_05-06.11.1989_5m_XLV-4-cal-4.fit,Calibrovka_05-06.11.1989_20s_XLV-4-cal-4.fit,Calibrovka_05-06.11.1989_1.5m_XLV-4-cal-4.fit,Calibrovka_05-06.11.1989_2.5m_XLV-4-cal-4.fit","40.0,90.0,150.0,300.0",1989-11-05T18:00:00,"4.195992064574597e-25,-5.260699609545464e-21,2.9168161154099726e-17,-9.410690992453805e-14,1.9549348342208443e-10,-2.729908717702923e-07,0.0002592970112392543,-0.16528431403879884,67.6165330426461,-16020.05184622465,1668508.5063634391","-3.552713678800501e-15,-1.3877787807814457e-16,0.0026468811604484464,-8.535829759006096e-05,1.5904421650407048e-06,-2.0749632580182687e-08,2.044242677593233e-10,-1.5815656585199726e-12,9.832723084164371e-15,-4.9813581896506054e-17,2.0727973293581403e-19,-7.108194286458e-22,2.007588244044558e-24,-4.648199733099774e-27,8.741759066366003e-30,-1.3155465064596442e-32,1.5477542741090251e-35,-1.3725865279421354e-38,8.63532540995258e-42,-3.437993023843592e-45,6.517964331099779e-49",558.1632042
C000L,"Calibrovka_06-07.02.1992_2s_19920207-cal-1.fits,Calibrovka_06-07.02.1992_4s_19920207-cal-2.fits,Calibrovka_06-07.02.1992_4m_19920207-cal-8.fits,Calibrovka_06-07.02.1992_2m_19920207-cal-7.fits,Calibrovka_06-07.02.1992_8s_19920207-cal-3.fits,Calibrovka_06-07.02.1992_1m_19920207-cal-6.fits,Calibrovka_06-07.02.1992_30s_19920207-cal-5.fits,Calibrovka_06-07.02.1992_15s_19920207-cal-4.fits","4.0,8.0,15.0,30.0,60.0",1992-02-06T18:00:00,"2.4215749197943858e-17,-1.9486078695972067e-13,6.381100904071114e-10,-1.0933951232897303e-06,0.0010502793868469404,-0.5608142891234039,154.46615385915132,-16633.232222902505","3.9968028886505635e-15,-1.0061396160665481e-16,-0.004934552814292392,0.0003227744448617361,-1.2198637290023756e-05,3.2280770152746223e-07,-6.450686957023159e-09,1.0122802915298826e-10,-1.2765193514433885e-12,1.3117207992799836e-14,-1.1071093369027971e-16,7.700749601660038e-19,-4.4115214525771576e-21,2.0717558425999135e-23,-7.90301238944686e-26,2.4123486482659696e-28,-5.756730793795753e-31,1.0355085280640561e-33,-1.3213951098446953e-36,1.0670850063701945e-39,-4.103420703714774e-43",275.182723
C000M,"Calibrovka_06-07.03.1986_1m_XXV-3-3.fit,Calibrovka_06-07.03.1986_20s_XXV-3-5.fit,Calibrovka_06-07.03.1986_40s_XXV-3-4.fit,Calibrovka_06-07.03.1986_5m_XXV-3-1.fit,Calibrovka_06-07.03.1986_2m_XXV-3-2.fit","20.0,40.0,60.0,120.0,300.0",1986-03-06T18:00:00,"1.0079395540459348e-11,-5.3706704294395913e-08,0.00010945090927914635,-0.10430935949844108,47.07752452249047,-7587.481695676521","-8.881784197001252e-16,2.8449465006019636e-16,-0.007707555426061703,0.00042787279743957296,-1.3723773153267803e-05,3.082142959223659e-07,-5.22710876178466e-09,6.961503250050612e-11,-7.450344082157086e-13,6.497361209123318e-15,-4.654068793726584e-17,2.7474004552000875e-19,-1.3357464789624735e-21,5.3237897239399515e-24,-1.7235411742965765e-26,4.4649413029138374e-29,-9.042703235358844e-32,1.3804564692911986e-34,-1.4950248464107848e-37,1.0246166564516732e-40,-3.343914142324193e-44",324.2458939
C000N,"Calibrovka_02-03.03.1990_1.5m_LI-2-3.fit,Calibrovka_02-03.03.1990_3m-1.5m_LI-2-cal-1.fit,Calibrovka_02-03.03.1990_20s_LI-2-5.fit,Calibrovka_02-03.03.1990_3m-1.5m_LI-2-cal-2.fit,Calibrovka_02-03.03.1990_40s_LI-2-4.fit,Calibrovka_02-03.03.1990_40s-20s-10s_LI-2-cal-2.fit,Calibrovka_02-03.03.1990_40s-20s-10s_LI-2-cal-1.fit,Calibrovka_02-03.03.1990_6m_LI-2-1.fit,Calibrovka_02-03.03.1990_3m_LI-2-2.fit,Calibrovka_02-03.03.1990_10s_LI-2-6.fit,Calibrovka_02-03.03.1990_5s_LI-2-7.fit","10.0,20.0,40.0,90.0",1990-03-02T18:00:00,"1.2990165792879058e-11,-6.888678860983819e-08,0.00014519784500981354,-0.14927510746984243,76.40792611411685,-15487.86401708859","5.329070518200751e-15,-3.400058012914542e-16,0.0030367174936406136,-8.488133925433845e-05,1.3708214433377409e-06,-1.5501365241483768e-08,1.323696799993083e-10,-8.87646049136671e-13,4.783248416820872e-15,-2.1003585023080348e-17,7.575285899892985e-20,-2.2516350864393444e-22,5.512008664138196e-25,-1.1061564574789002e-27,1.8031304193497724e-30,-2.3519660202664307e-33,2.398409740672257e-36,-1.8435614966620044e-39,1.005294103281443e-42,-3.469093044300272e-46,5.700585535227295e-50",643.9685727
C000O,"Calibrovka_02-03.04.1989_4m-2m_XXXVII-2-Cal.fit,Calibrovka_02-03.04.1989_8m_XXXVII-2-Cal.fit,Calibrovka_02-03.04.1989_1m-30s_XXXVII-2-Cal.fit,Calibrovka_02-03.04.1989_15s-7s_XXXVII-2-Cal.fit","7.0,15.0,30.0,60.0,120.0,240.0",1989-04-02T18:00:00,"2.032179572051664e-14,-1.1816693446971466e-10,2.7437506992188393e-07,-0.00032012161739385027,0.19529762078631208,-56.80388217317356,6054.6829764595695","-4.440892098500626e-16,-1.1796119636642288e-16,0.002285439575247205,-9.555721633971122e-05,2.308437233410307e-06,-3.904748303656067e-08,4.987667906900844e-10,-5.003048916638803e-12,4.0327729902331405e-14,-2.6488671836625753e-16,1.429064058148801e-18,-6.353844622670679e-21,2.326667850788561e-23,-6.984365700378393e-26,1.7030345806695975e-28,-3.3228694888027523e-31,5.068641029501579e-34,-5.8278947395617995e-37,4.753714767731475e-40,-2.4538151710195584e-43,6.031582605067895e-47",430.505554
C000P,"Calibrovka_02-03.06.1989_6m_XXXIX-6-Cal.fit,Calibrovka_02-03.06.1989_2m-4m_XXXIX-6-Cal.fit,Calibrovka_02-03.06.1989_2s-4s-8s_XXXIX-6-Cal.fit,Calibrovka_02-03.06.1989_15s-30s-1m_XXXIX-6-Cal.fit","2.0,4.0,8.0,15.0,30.0,60.0",1989-06-02T18:00:00,"8.476632243691706e-12,-6.212947624833542e-08,0.000177888668658982,-0.24764405487415458,168.53072681252965,-44839.718382616236","1.7763568394002505e-15,-2.0383000842727483e-17,-0.00035494247525535343,7.814293230546344e-06,-9.939905801323239e-08,8.85309708972541e-10,-5.954395740962406e-12,3.1449438743238304e-14,-1.334811408445214e-16,4.616515532379505e-19,-1.3114260274166264e-21,3.070200064472831e-24,-5.9197376349164994e-27,9.35692234090672e-30,-1.2013443346351019e-32,1.2342277481678075e-35,-9.913146876601524e-39,6.001636516799913e-42,-2.5776805451460245e-45,7.006091506105702e-49,-9.067826922071286e-53",817.5997964
C000Q,"Calibrovka_03-04.02.1973_1m_VIII-2-Cal-III.fit,Calibrovka_03-04.02.1973_30s-15s-7.5s-1m_VIII-2-Cal-II.fit,Calibrovka_03-04.02.1973_20s-10s-5s_VIII-2-Cal-III.fit,Calibrovka_03-04.02.1973_20s_VIII-2-Cal-III.fit","5.0,7.5,10.0,20.0,60.0",1973-02-03T18:00:00,"2.4843884278122912e-20,-1.8941952431125034e-16,5.930660324750946e-13,-9.80805573763571e-10,9.161981379778474e-07,-0.0004764507219463849,0.1247433962126344,-11.077887948435228,-340.53304417142897","-2.220446049250313e-15,5.551115123125783e-17,0.004556632353661077,-0.0003080155568235651,1.2029903631189353e-05,-3.2898192580554143e-07,6.793779367225553e-09,-1.1017513074895217e-10,1.4357787357086588e-12,-1.5246804798078012e-14,1.3298579982668843e-16,-9.559277724519955e-19,5.659235851464792e-21,-2.7465359729003036e-23,1.0827213561836536e-25,-3.415398917537738e-28,8.422763435391938e-31,-1.565704080371916e-33,2.0647430824038394e-36,-1.7230967496250868e-39,6.847531076503024e-43",266.2832462
C000R,"Calibrovka_03-04.03.1989_15s-8s_XXXVI-5-Cal.fit,Calibrovka_03-04.03.1989_1s-0.5s_XXXVI-5-Cal.fit,Calibrovka_03-04.03.1989_4s-2s_XXXVI-5-Cal.fit,Calibrovka_03-04.03.1989_1m-30s_XXXVI-5-Cal.fit","2.0,4.0,8.0,15.0,30.0",1989-03-03T18:00:00,"1.5780369497083274e-25,-1.976671925679345e-21,1.0882989794996649e-17,-3.4621315292791693e-14,7.035256361389396e-11,-9.52584278170883e-08,8.690331619307395e-05,-0.05267351433768848,20.27678305239798,-4471.656298821565,428652.95725864836","0.0,8.673617379884035e-18,0.0012061470651129093,-4.739078318271033e-05,1.0758416206525437e-06,-1.7101066313892682e-08,2.0527097751270331e-10,-1.934927270313754e-12,1.4656610517107533e-14,-9.046692514131195e-17,4.586498102047908e-19,-1.9163109754220186e-21,6.594223467974803e-24,-1.8601849127344182e-26,4.2623831703121813e-29,-7.815237507319456e-32,1.1202638110277003e-34,-1.2104318597568298e-37,9.27815538995072e-41,-4.500598223499702e-44,1.0395839175875271e-47",458.1196113
C000S,"Calibrovka_03-04.07.1994_30s_II-5-3.fit,Calibrovka_03-04.07.1994_2m_II-5-5.fit,Calibrovka_03-04.07.1994_1m_II-5-4.fit,Calibrovka_03-04.07.1994_15s_II-5-2.fit,Calibrovka_03-04.07.1994_8s_II-5-1.fit,Calibrovka_03-04.07.1994_4m_II-5-6.fit","8.0,15.0,30.0,60.0",1994-07-03T18:00:00,"7.421983509266095e-18,-7.997440247700276e-14,3.597089774931646e-10,-8.710228264293702e-07,0.0012226048291767593,-0.9932471270667028,433.496345823931,-78718.94570458478","7.993605777301127e-15,-2.5847379792054426e-16,0.000778359148632928,-1.7291050404690673e-05,2.2193385320586503e-07,-1.9945554925911898e-09,1.3536244929986022e-11,-7.21411431695567e-14,3.0895814046509753e-16,-1.078210720820002e-18,3.0905996805584133e-21,-7.300880586032527e-24,1.420432628011122e-26,-2.265483052276373e-29,2.934978399165019e-32,-3.042582217597802e-35,2.4658586017399895e-38,-1.5063848174306768e-41,6.528372795010354e-45,-1.7904461759993007e-48,2.3382896034548346e-52",810.2726178
C000T,"Calibrovka_03-04.11.1989_4m_XLV-4-cal-2.fit,Calibrovka_03-04.11.1989_30s-1m_XLV-4-cal-2.fit,Calibrovka_03-04.11.1989_2s-4s_XLV-4-cal-2.fit,Calibrovka_03-04.11.1989_15s_XLV-4-cal-1.fit,Calibrovka_03-04.11.1989_1m_XLV-4-cal-1.fit,Calibrovka_03-04.11.1989_30s_XLV-4-cal-1.fit,Calibrovka_03-04.11.1989_6m_XLV-4-cal-1.fit,Calibrovka_03-04.11.1989_5s_XLV-4-cal-1.fit,Calibrovka_03-04.11.1989_8s-15s_XLV-4-cal-2.fit,Calibrovka_03-04.11.1989_3m_XLV-4-cal-1.fit","5.0,8.0,15.0,30.0,60.0,180.0",1989-11-03T18:00:00,"8.007903179132192e-15,-5.329581615017829e-11,1.4381452568672992e-07,-0.0001991087013566309,0.14881879510994697,-55.42788635661732,7976.516489858715","-1.5543122344752192e-15,5.0306980803327406e-17,0.0009574353261078105,-3.3786055915850487e-05,6.888527233763347e-07,-9.834123470588348e-09,1.0601673951207554e-10,-8.975237842832212e-13,6.1058944888823445e-15,-3.384854501290409e-17,1.5412242063922324e-19,-5.783423798779421e-22,1.7873809255999612e-24,-4.528391885725142e-27,9.319117805118224e-30,-1.5346131729902072e-32,1.975656670921635e-35,-1.9171934749427778e-38,1.3198411519655715e-41,-5.749958305133068e-45,1.1928571303748031e-48",510.0872358
C000U,"Calibrovka_04-05.04.1989_6m_XXXVII-2-Cal.fit,Calibrovka_04-05.04.1989_2.5s-1s_XXXVII-2-Cal.fit,Calibrovka_04-05.04.1989_10s-5s_XXXVII-2-Cal.fit,Calibrovka_04-05.04.1989_3m-1.5m_XXXVII-2-Cal.fit,Calibrovka_04-05.04.1989_40s-20s_XXXVII-2-Cal.fit","20.0,40.0,90.0,180.0,360.0",1989-04-04T18:00:00,"-7.987719160440974e-23,8.55937504817637e-19,-3.9626025735465684e-15,1.0391444427218613e-11,-1.6987827354019578e-08,1.792467590796805e-05,-0.012181387323590302,5.127716598468193,-1208.3625111048189,121047.71975518692","-3.9968028886505635e-15,1.0755285551056204e-16,0.0015807340288571464,-6.168439204040811e-05,1.3907613375988713e-06,-2.1955853438757916e-08,2.6174448939401473e-10,-2.4504029504914776e-12,1.843441129766148e-14,-1.1300779990186976e-16,5.690136348981655e-19,-2.3611865826592557e-21,8.069578393102602e-24,-2.2608209379493963e-26,5.145000270894526e-29,-9.36910182787808e-32,1.3338252960932917e-34,-1.4313368541673168e-37,1.0896474675453481e-40,-5.249494452457841e-44,1.2042860443253448e-47",461.2708593
C000V,"Calibrovka_03-04.11.1988_0.2s_XXXI-4-Cal-6.fit,Calibrovka_03-04.11.1988_0.3s_XXXI-4-Cal-5.fit,Calibrovka_03-04.11.1988_0.1s_XXXI-4-Cal-7.fit,Calibrovka_03-04.11.1988_0.4s_XXXI-4-Cal-4.fit","0.1,0.2,0.3",1988-11-03T18:00:00,"1.774886040924199e-17,-1.589535968419579e-13,5.837781206430866e-10,-1.1350742637686702e-06,0.0012603192469762936,-0.7998918474133683,273.00714622269487,-38454.145593275025","2.6645352591003757e-15,-3.8163916471489756e-16,0.004767056556997052,-0.00019629402040925736,4.670083761010054e-06,-7.7796966586389e-08,9.786562344304393e-10,-9.667861190146778e-12,7.674718447025082e-14,-4.9645727421415795e-16,2.6377668822778752e-18,-1.1550062233461405e-20,4.165289025398076e-23,-1.2314045195796278e-25,2.957060827031576e-28,-5.682155240037089e-31,8.535999181144929e-34,-9.665794294967655e-37,7.764651856452153e-40,-3.947241832882647e-43,9.555340925164678e-47",437.13516
C000W,"Calibrovka_04-05.11.1988_6m-3m_XXXI-1-Cal.fit,Calibrovka_04-05.11.1988_20s-10s_XXXI-1-Cal.fit,Calibrovka_04-05.11.1988_1.5m-40s_XXXI-1-Cal.fit","10.0,20.0,40.0,90.0,180.0,360.0",1988-11-04T18:00:00,"-4.260439826356377e-26,6.120013071661875e-22,-3.851484420986571e-18,1.3971487211971922e-14,-3.2317316143847406e-11,4.974298011264247e-08,-5.152738864377243e-05,0.03542398530884493,-15.451504266266317,3859.8593576578073,-419280.2624185541","1.3877787807814457e-16,-7.914675859144182e-18,6.913064498057868e-05,-2.5468352898810806e-06,5.421156481189547e-08,-8.079852290359575e-10,9.093779288867511e-12,-8.037447202600159e-14,5.708521793062036e-16,-3.3038214943773072e-18,1.570524051344128e-20,-6.152703532532622e-23,1.9851818296161375e-25,-5.250847159422837e-28,1.1281383852722806e-30,-1.939495148748851e-33,2.6067744289610278e-36,-2.64094964296292e-39,1.8980954339984504e-42,-8.633030509631331e-46,1.8697744126451162e-49",488.587391
C000X,"Calibrovka_04-05.11.1989_15s-30s_XLV-4-cal-3.fit,Calibrovka_04-05.11.1989_4m_XLV-4-cal-3.fit,Calibrovka_04-05.11.1989_1m-2m_XLV-4-cal-3.fit,Calibrovka_04-05.11.1989_4s-8s_XLV-4-cal-3.fit","15.0,30.0,60.0,120.0,240.0",1989-11-04T18:00:00,"1.9691296185905704e-22,-2.140198473253403e-18,1.0139570956542514e-14,-2.7453197308166754e-11,4.6765954176327016e-08,-5.193298442907772e-05,0.03757209118421148,-17.07189101813957,4422.1441419416815,-497871.2277719149","-4.218847493575595e-15,9.194034422677078e-17,0.0008300966617524743,-2.6884871992899425e-05,5.030928126226942e-07,-6.59187019001718e-09,6.522268750649939e-11,-5.067823361179523e-13,3.1642883692941047e-15,-1.6099708819022466e-17,6.728141154310648e-20,-2.3172108174036944e-22,6.57277710861129e-25,-1.5283648682466738e-27,2.8867495121959522e-30,-4.362992613776174e-33,5.1552328694107884e-36,-4.5914938970062005e-39,2.9010885908166306e-42,-1.1599927580336935e-45,2.208667140213121e-49",555.7675676
C000Y,"Calibrovka_06-07.03.1989_2s-1s_XXXV-4-Cal.fit,Calibrovka_06-07.03.1989_16s_XXXV-4-Cal.fit,Calibrovka_06-07.03.1989_8s-4s_XXXV-4-Cal.fit,Calibrovka_06-07.03.1989_30s_XXXV-4-Cal.fit,Calibrovka_06-07.03.1989_1m_XXXV-4-Cal.fit","1.0,2.0,4.0,8.0,16.0",1989-03-06T18:00:00,"2.117777927587793e-09,-3.5492762982475084e-06,-0.0005253338417025814,4.532819665508574,-1623.9034248142918","3.552713678800501e-15,-1.0928757898653885e-16,0.0018246409977145657,-7.433323642712708e-05,1.7496431859558102e-06,-2.883608725836623e-08,3.5888283112234647e-10,-3.507533027989502e-12,2.754752987162216e-14,-1.7629944164569598e-16,9.26732337093325e-19,-4.0146813279004765e-21,1.4323882296886527e-23,-4.1895289187688763e-26,9.953448074169834e-29,-1.8922357332908906e-31,2.8123240269769794e-34,-3.1506298881278405e-37,2.5039789638308254e-40,-1.2593639885374326e-43,3.0161474588171905e-47",441.8418938
C000Z,"Calibrovka_23-24.07.1971_0.1s_Cal-4.fits,Calibrovka_23-24.07.1971_0.2s_Cal-3.fits,Calibrovka_23-24.07.1971_0.3s_Cal-2.fits,Calibrovka_23-24.07.1971_0.4s_Cal-1.fits","0.1,0.2,0.3",1971-07-23T18:00:00,"7.284625170140743e-20,-6.267588819010003e-16,2.278936193397941e-12,-4.553597613454481e-09,5.441063931542943e-06,-0.003956657787185314,1.6965425689042921,-386.393365688806,35504.69470464224","-1.7763568394002505e-15,-1.734723475976807e-17,0.004707245828331276,-0.00022274102764417616,6.0896788923993544e-06,-1.165759492946092e-07,1.6852061613251676e-09,-1.9130655520326273e-11,1.7451729444508488e-13,-1.297282238422535e-15,7.920736740341944e-18,-3.985566557516331e-20,1.651685887244012e-22,-5.611250192122618e-25,1.548444779729764e-27,-3.41920494588866e-30,5.902594885095399e-33,-7.680734177470351e-36,7.090285919440267e-39,-4.142018836446072e-42,1.1522350865747168e-45",380.3988237
C0010,"Calibrovka_03-04.02.1986_40s_XXV-2-4.fit,Calibrovka_03-04.02.1986_6m_XXV-2-1.fit,Calibrovka_03-04.02.1986_3m_XXV-2-2.fit,Calibrovka_03-04.02.1986_20s_XXV-2-5.fit,Calibrovka_03-04.02.1986_1.5m_XXV-2-3.fit,Calibrovka_03-04.02.1986_10s_XXV-2-6.fit","10.0,20.0,40.0,90.0,180.0,360.0",1986-02-03T18:00:00,"1.8731449104664872e-25,-2.298311398837296e-21,1.2364516094048018e-17,-3.832660851509308e-14,7.563465330211282e-11,-9.90620860702361e-08,8.70058863384901e-05,-0.05048806552158285,18.488151261759963,-3850.667378151642,345985.63313499134","0.0,-2.7582103268031233e-16,0.00293625750121273,-0.00013212421996080812,3.435038172224282e-06,-6.253182337602966e-08,8.596073642568615e-10,-9.279656446979304e-12,8.04999248914673e-14,-5.690447658638969e-16,3.3039426273374133e-18,-1.5809274548406454e-20,6.230233028050308e-23,-2.0127573597973116e-25,5.281806292092238e-28,-1.109090122859523e-30,1.820705227147922e-33,-2.2529645282656835e-36,1.977745136139791e-39,-1.0986860322346267e-42,2.9064147355289826e-46",400.0223051
C0011,"Calibrovka_04-05.02.1976_2s_XVI-6-Cal.fit.fits,Calibrovka_04-05.02.1976_30s_XVI-6-Cal.fit.fits,Calibrovka_04-05.02.1976_5s_XVI-6-Cal.fit.fits,Calibrovka_04-05.02.1976_20s_XVI-6-Cal.fit.fits,Calibrovka_04-05.02.1976_40s_XVI-6-Cal.fit.fits,Calibrovka_04-05.02.1976_10s_XVI-6-Cal.fit.fits","2.0,5.0,10.0,20.0,30.0,40.0",1976-02-04T18:00:00,"6.613750964790936e-20,-5.19897133571659e-16,1.7239736556117222e-12,-3.1395821647516937e-09,3.4234136903207553e-06,-0.00228093118741995,0.9035231576657237,-192.6524884287146,16893.596757738276","-1.0658141036401503e-14,4.0592529337857286e-16,0.008135877612793083,-0.0005076137347526027,1.829882299745785e-05,-4.618844504608999e-07,8.803858165161821e-09,-1.317787756780246e-10,1.5850745975706912e-12,-1.5536075546903106e-14,1.2507429084236105e-16,-8.298281325986727e-19,4.534413940840408e-21,-2.0311825502409524e-23,7.390616438911728e-26,-2.151818773839475e-28,4.898004211296644e-31,-8.403777196193938e-34,1.022895248724218e-36,-7.879072560860909e-40,2.890012651960618e-43",288.49849207025375
